Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment
201,1219,"Methane, bromochlorodifluoro-",CBrClF2,7,"A""",222.7,,0.472
202,1219,methylborane,CH3BH2,6,A',53.6,,0.455
205,1220,Ethanedithioamide,C2H4N2S2,21,Bu,222.5,,0
207,1220,"1,1-Dimethoxyethane",C4H10O2,33,"A""",262.7,,2.718
228,1222,heptane,C7H16,26,A2,0,,0.067
234,1223,"Ethene, chlorotrifluoro-",C2ClF3,3,A',255.6,0.2,
237,1223,"1,3-Diazine",C4H4N2,21,B2,10.9,,
239,1223,"Butane, 2,3-dichloro-, (r*,s*)-",C4H8Cl2,27,Au,57.8,,
251,1224,Oxalic Acid,C2H2O4,4,Ag,0,,
257,1224,Norbornane,C7H12,21,A2,0,,
259,1225,Bibenzyl,C14H14,55,B,0.4,,
272,1226,"cis-1,2-dichloro-1,2-difluoroethylene",CFClCFCl,9,B2,38.3,,
279,1227,difluorodichloromethane,CF2Cl2,8,B2,253.1,0.7,
280,1227,1-bromo-2-chloroethane,CH2BrCH2Cl,6,A',72.9,2.9,
283,1228,"1,4-Butanedithiol",C4H10S2,37,Bu,41.4,,
316,1231,Phenanthrene,C14H10,13,A1,6.7,,
318,1231,cyanuric acid,C3H3N3O3,6,A2',0,,
319,1231,Cyclobutene,C4H6,5,A1,0.2,,
362,1235,"1,2-dichloro-1,2-difluoroethane RR",CHFClCHFCl,13,B,46.9,,
383,1237,dimethyl zinc,Zn(CH3)2,6,"A2""",4.7,,
405,1239,Fluorene,C13H10,53,B2,3,2.4,
429,1240,pentafluorochloroethane,CF3CF2Cl,13,"A""",196.2,,
433,1240,"ethane, 1,2-dichloro-1,2-difluoro-",CHFClCHClF,12,Au,57.3,,
436,1241,sym-tetrazine,C2H2N4,7,B1u,80,,
437,1241,tetrafluorcyclobutadiene,C4F4,3,Ag,0,,
467,1243,Bicyclo[2.2.2]octane,C8H14,31,E,0.1,,
480,1244,vinylidene,CCH2,3,A1,13.2,,
502,1246,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",CF2ClCF2Cl,11,Bg,0,,
504,1246,1-pentene,CH2CHCH2CH2CH3,22,A,0.2,,
514,1247,Pentane,C5H12,19,A2,0,,
522,1248,tetramethylbutane,(CH3)3CC(CH3)3,31,Eg,0,,
527,1248,Inositol,C6H12O6,19,A2u,0,,
532,1248,"1,1-dichloro-2,2-difluoroethane",CHCl2CHF2,13,"A""",29.9,,
535,1249,perfluoropropane,C3F8,16,B1,171.1,,
548,1250,Difluoromethylene,CF2,1,A1,144.5,,
600,1255,trimethyl aluminum,Al(CH3)3,15,E',39.1,,
687,1262,Tetracyanoethylene,C6N4,20,B3g,0,,
697,1263,cyclobutadiene,C4H4,13,B2u,35.7,,
718,1264,"2-Butene, (Z)-",CH3CHCHCH3,7,A1,0,,
736,1266,Bromotrifluoromethane,CF3Br,4,E,302.6,,
742,1267,Fumaronitrile,C4H2N2,15,Bu,1.5,,
751,1267,1-Butyne,CHCCH2CH3,19,"A""",0,,
764,1268,Fluoromethylidyne,CF,1,Σ,218.6,,
766,1268,1-Butene,CH2CHCH2CH3,17,A,0.1,17,
768,1268,Butane,CH3CH2CH2CH3,15,Au,0.3,0,
769,1268,dimethylperoxide,CH3OOCH3,5,Ag,0,,
770,1268,Carbon diselenide,CSe2,2,Σu,1198.8,,
786,1269,"1-Propene, 2-methyl-",CH2C(CH3)CH3,27,B2,3.4,,
819,1272,ferrocene,Fe(C5H5)2,5,A1u,0,,
846,1275,Diborane(4) C2V,HBHHBH,11,B2,305.6,,
852,1276,"Methane, chlorotrifluoro-",CF3Cl,4,E,347.6,0.6,
869,1278,"1,3,5-Triazine, 2,4,6-trichloro-",C3Cl3N3,1,A1',0,,
888,1279,"1,1-Dichlorotetrafluoroethane",CF3CFCl2,12,"A""",210.7,,
913,1282,hexafluoroethane,C2F6,7,Eg,0,,
922,1283,borazine,B3N3H6,5,A2',0,,
938,1284,dialane,Al2H6,10,B2g,0,,
954,1284,Carbonic acid,H2CO3,3,A1,46,,
970,1286,Oxalamide,C2H4N2O2,21,Bu,266.7,,
1002,1288,pentatetraene,C5H4,9,B2,18.8,,
1033,1290,"1,3-Butadiene",CH2CHCHCH2,6,Ag,0,,
1038,1291,Propane,C3H8,12,A2,0,12.3,
1055,1291,Phosphoric Acid,H3PO4,2,A,416.9,,
1064,1292,Trifluoromethylhypofluorite,CF3OF,2,A',405.7,,
1102,1296,1-Buten-3-yne,C2H3CCH,8,A',2.2,,
1128,1297,tetrafluoroallene,F2CCCF2,8,E,333.6,,
1141,1298,Propene,CH2CHCH3,10,A',0.2,24.6,
1264,1305,tetramethylsilane,Si(CH3)4,16,T2,38.8,,
1375,1313,"Ethane, 1-chloro-1-fluoro-",CH3CHFCl,9,A,69.2,,
1398,1315,"1,1,2,2-tetrafluoroethane",CHF2CHF2,15,Bu,53.7,,
1424,1317,Ethanedial,C2H2O2,11,Bu,23.1,0,
1451,1320,Diboron tetrafluoride,B2F4,7,E,305,,
1487,1324,Carbon tetrafluoride,CF4,3,T2,460.3,,
1547,1330,difluoroacetylene,C2F2,3,Σu,343.6,,
1616,1337,hexafluorobenzene,C6F6,5,B1u,0,,
1631,1338,Methane,CH4,4,T2,10.3,2.6,
1664,1342,"1,2-Butadiene",CH2CCHCH3,9,A',14.8,,
1678,1343,Isobutane,CH3CH(CH3)CH3,19,E,3.4,,
1738,1350,Tetrafluoroethylene,C2F4,8,B2u,431.2,,
1848,1362,difluorodichloroethylene,CF2CCl2,9,B2,151.1,,
1892,1365,Carbon dioxide,CO2,1,Σg,0,12.3,
1893,1365,Carbon sulfide selenide,SCSe,1,Σ,1376.9,,
1946,1370,"1,3,5-Triazine",C3H3N3,4,A2',0,,
1969,1372,difluorobutadiyne,C4F2,2,Σg,0,34.4,
2007,1375,"phosphorane, trifluoromethylene-",PF3CH2,2,A',71.8,,
2065,1381,Zinc methylene,ZnCH2,2,A',4.4,,
2090,1383,Butatriene,H2CCCCH2,8,B1u,1.8,,
2135,1387,Dinitrogen tetroxide,N2O4,5,B1u,435.5,0,
2224,1395,methylmethylene,CH3CH,5,A',0.4,,
2251,1397,Chlorodifluoroborane,BClF2,5,B2,398.9,0,
2262,1397,Sulfur trioxide,SO3,3,E',316,3.6,
2419,1405,2-Butyne,CH3CCCH3,7,"A2""",11.2,,
2423,1405,Boric acid,H3BO3,7,E',545.1,,
2708,1416,"Borane, trifluoro-",BF3,3,E',484.6,,
2794,1421,Scandium trihydride,ScH3,3,E',852.9,,
2807,1423,Carbon disulfide,CS2,2,Σu,1505.5,0,
2859,1428,Zinc monomethyl,ZnCH3,5,E,3.3,,
3006,1442,silicon dioxide,SiO2,2,Σu,156,,
3162,1453,Cyclopropane,C3H6,9,E',0.1,7.8,
3570,1466,disilyne,Si2H2,5,B1,72.3,27.7,
3970,1475,magnesium dihydride,MgH2,1,Σg,0,,
4215,1479,Gallium monohydride,GaH,1,Σ,880.7,265.1,
4753,1505,Beryllium fluoride,BeF2,2,Σu,391.5,,
4875,1536,silane-d2,SiH2D2,2,A1,66,,
4896,1553,Carbon monoxide,CO,1,Σ,1.7,,
4939,1592,aluminum monohydride,AlH,1,Σ,804,,
4964,1604,tetrabromoethene,C2Br4,1,Ag,0,95.6,
5064,1626,Carbon suboxide,C3O2,4,Σu,59.1,0,
5133,1640,Tetrachloroethylene,C2Cl4,1,Ag,0,,
5157,1648,Diborane,B2H6,17,B3u,782.5,0,
5163,1649,Zinc hydride,ZnH2,2,Σu,435.2,,
5386,1717,Ethenediimine,HNCCNH,10,Bu,315.1,0,
5414,1733,germylidene,GeH,1,Σ,419.9,224.1,
5439,1760,germylene,GeH2,1,A1,320.1,,
5450,1767,(Z)-Difluorodiazene,N2F2,1,A1,20,,
5462,1777,Boranimine,HBNH,3,Σ,84.8,,
5486,1797,Bromine dioxide,BrOO,1,A',0.2,47.7,
5550,1824,aluminum trihydride,AlH3,3,E',344.2,,
5556,1825,Gallium trihydride,GaH3,3,E',290.2,,
5606,1863,Oxalyl chloride,ClCOClCO,1,Ag,0,,
5632,1894,beryllium dihydride,BeH2,1,Σg,0,,
5644,1916,Diboron dioxide,B2O2,3,Σu,349.1,,
5650,1934,beryllium monohydride,BeH,1,Σ,172.9,,
5653,1938,hexatriyne,C6H2,3,Σg,0,,
5661,1963,Silylidyne,SiH,1,Σ,450.4,270.1,
5664,1966,Germane,GeH4,1,A1,0,261.4,
5676,1997,Nitric oxide,NO,1,Σ,69.5,,
5687,2020,Acetylene,C2H2,2,Σg,0,61.2,
5689,2025,Arsenic monohydride,AsH,1,Σ,161,198.5,
5691,2033,methane-d4,CD4,1,A1,0,,
5700,2073,Carbonyl sulfide,OCS,1,Σ,1181.4,27.9,
5703,2079,Arsine,AsH3,1,A1,71.1,225.5,
5704,2079,Carbonyl selenide,OCSe,1,Σ,1141.3,,
5705,2080,Diacetylene,C4H2,5,Σu,0,,
5717,2105,trisilane,Si3H8,3,A1,138.6,80.8,
5723,2121,disilane,Si2H6,5,A2u,217,,
5735,2130,trisilylamine,N(SiH3)3,19,"E""",0,92,
5752,2145,Silane,SiH4,3,T2,229.6,71,
5779,2169,Disilene,Si2H4,10,Bu,175.1,0,
5814,2227,2-Butynedinitrile,C4N2,2,Σg,0,,
5835,2286,Cyanogen,C2N2,3,Σu,3.8,,
5846,2307,dichloroacetylene,C2Cl2,1,Σg,0,,
5924,2412,Diborane(4) D2d,B2H4,5,B2,136.6,,
5925,2421,boron trihydride,BH3,1,A1',0,,
5936,2452,boron dihydride,BH2,1,A1,17.3,,
