Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
4461,1487,diazirine,CH2N2,3,A1,1.4,,2.436,-0.175
4705,1500,Ammonia Oxide,NH3O,2,A1,35.2,,0.677,0.323
4817,1514,cyanomethylene,HCCN,2,A',120.5,,3.0,-0.385
5046,1622,cyanamide,NH2CN,3,A',53.6,,2.436,-0.175
5145,1642,Water,H2O,2,A1,107.3,5.7,2.199,-0.345
5531,1817,Boron hydride oxide,HBO,2,Σ,125.5,,3.04,-0.036
5589,1846,Nitrosyl hypofluorite,FONO,1,A',193.0,,0.644,-0.474
5590,1846,Dinitrogen monohydride,NNH,2,A',23.9,,1.983,0.18
5620,1881,boron monoxide,BO,1,Σ,92.0,,2.688,0.082
5688,2023,Isothiocyanic acid,HNCS,2,A',1083.5,,3.458,-0.074
5707,2081,methylfluoride-d3,CD3F,1,A1,27.2,,1.99,-0.442
5790,2183,chlorosilane,SiH3Cl,1,A1,84.7,212.3,2.059,0.304
5834,2283,fulminic acid,HCNO,2,Σ,342.3,69.8,2.352,-0.022
5838,2299,phosphorus monohydride,PH,1,Σ,163.5,,0.712,-0.118
5849,2310,thiocyanic acid,HSCN,2,A',18.6,,3.458,-0.074
5861,2333,Diphosphine,P2H4,9,B,51.7,,1.383,-0.255
5917,2381,tetracyanomethane,C(CN)4,6,T2,1.1,,,0.0
5975,2612,Disulfane,H2S2,1,A,9.9,,1.562,-0.317
9963,3172,Imidogen,NH,1,Σ,27.3,,1.75,0.313
10302,3664,Sulfur Hydroxide,SOH,1,A',122.7,78.9,,-0.216
