Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
386,1238,2H-Imidazole,C3H4N2,19,B2,2.5,,2.424,-6.247
403,1238,hydroxy acetaldehyde,CHOCH2OH,14,"A""",1.2,,1.987,0.965
419,1239,"1-Chloro-1,1-Difluoroethane",CH3CF2Cl,5,A',165.4,,2.296,-2.132
421,1239,"3,3-dichloropropyne",CHCl2CCH,11,"A""",38.8,,1.877,-0.555
430,1240,"Acetonitrile, trifluoro-",CF3CN,2,A1,433.9,,1.495,-6.62
434,1240,formamide,CHONH2,7,A',155.1,,4.101,-2.138
456,1242,"1,1-Dichloro-2,2,2-trifluoroethane",CF3CHCl2,13,"A""",190.2,,1.419,-1.134
460,1243,Thietane,C3H6S,19,"A""",16.6,,3.343,-1.33
481,1244,trifluoromethanol,CF3OH,9,"A""",467.6,,2.079,-2.407
482,1244,"1,1,2-trichloroethane",CH2ClCHCl2,7,A,35.8,,2.073,3.52
493,1246,Ethyl bromide,C2H5Br,15,"A""",0.3,,2.417,-1.267
505,1246,"Ethane, 1,1,2-trifluoro",CHF2CH2F,8,A,18.6,8.9,1.719,5.995
508,1247,Isoxazole,C3H3NO,7,A',9.9,10.7,3.277,-3.342
521,1247,Allyl Fluoride,CH2CHCH2F,16,"A""",0.3,10.3,1.824,-2.012
531,1248,ethanimine,CH3CHNH,9,A',32.5,,1.736,-1.212
538,1249,2-fluoroethanol,CH2FCH2OH,11,A,11.2,10.9,1.628,1.546
539,1249,Ethylamine,CH3CH2NH2,20,"A""",0,,1.143,1.433
540,1249,methyl azide,CH3N3,6,A',307.2,,2.007,0.899
541,1249,"Ethane, 1,2,2-trichloro-1,1-difluoro-",CHCl2CClF2,4,A,164.8,,1.484,-2.041
558,1251,"1,2-Ethanedithiol",CH2SHCH2SH,21,Bu,77.4,,2.379,-2.642
560,1251,Dimethylamine,CH3NHCH3,8,A',0.7,,1.143,1.433
562,1251,diaminoethylene,H2NCHCHNH2,7,A,0,18.6,2.568,-5.306
580,1253,trifluoroacetyl fluoride,CF3COF,11,"A""",311.4,,0.927,4.026
581,1253,fluoromethanol,CH2FOH,7,A,13.2,7.5,1.776,1.76
582,1253,methyl formate,CH3OCHO,8,A',399.1,,1.987,0.965
611,1255,Ethanol,CH3CH2OH,9,A',121.7,4.4,1.477,-2.597
629,1257,Thiazole,C3H3NS,7,A',13.2,2.7,1.44,-4.234
633,1257,trifluoroacetyl chloride,CF3COCl,11,"A""",313.5,,0.923,2.884
646,1259,vinyl bromide,C2H3Br,6,A',40,,1.81,-5.238
653,1259,"Ethane, 1,2-dichloro-",CH2ClCH2Cl,16,Bu,58.9,,2.393,-4.032
655,1260,selenophene,C4H4Se,18,B2,19.6,1.2,0.831,1.946
664,1260,aminoethene,CH2CHNH2,10,A,41.1,,1.736,-1.212
668,1261,"Oxirane, (chloromethyl)-",C3H5ClO,10,A,4.3,,0.741,5
688,1262,"1,1,1,2-tetrafluorochloroethane",CF3CHFCl,5,A,305.7,,1.563,3.711
710,1264,"Ethene, 1,2-difluoro-, (Z)-",C2H2F2,3,A1,37.7,,1.249,1.645
717,1264,ethanethiol,CH3CH2SH,12,A,3.3,,1.798,-2.213
725,1265,Propanal,CH3CH2CHO,19,"A""",0.3,6.9,0.678,-3.451
737,1266,trans-1-Fluoro-1-propene,CH3CHCHF,9,A',8.1,11.5,1.824,-2.012
741,1267,ethyl cyanide,C2H5CN,17,"A""",0,,4.152,3.75
749,1267,"Ethane, 1,1-dichloro-",CH3CHCl2,14,"A""",60.3,,2.393,-4.032
767,1268,Acrylamide,CH2CHCONH2,11,A,138.4,,3.439,3.593
785,1269,"1,1,1,2-tetrabromo ethane",CH2BrCBr3,3,A',33.9,12.1,1.397,1.082
791,1270,Thiophene,C4H4S,18,B2,8.8,,0.898,0.816
830,1274,Trifluoroethylene,C2HF3,4,A',203.2,,1.436,1.334
841,1274,chloroacetaldehyde,CH2ClCHO,7,A,37.2,,3.038,1.94
855,1276,Hydrazinecarbothioamide,CH5N3S,11,A,263,,6.606,-4.934
856,1276,Trichloroethylene,CHClCCl2,3,A',13.7,,1.136,-1.761
867,1278,fluoroethane,C2H5F,15,"A""",0.3,,1.966,1.268
878,1278,Thioacetone,CH3CSCH3,5,A1,172.6,,3.343,-1.33
904,1281,Ethylene oxide,C2H4O,3,A1,16,27.6,2.981,1.757
956,1284,Diaminoacetylene,NH2CCNH2,14,B,93.9,,2.612,6.737
968,1285,1H-Tetrazole,CH2N4,6,A',1.1,,5.642,-0.926
980,1287,"Ethene, chloro-",C2H3Cl,6,A',16.7,,1.852,-3.946
997,1288,Maleic Anhydride,C4H2O3,4,A1,232.8,,4.568,6.885
1009,1288,Ethenethiol,CH2CHSH,7,A',2.5,,1.263,-5.468
1032,1290,"2,2,2-Trifluoroethyl chloride",CF3CH2Cl,4,A',178.1,,2.042,0.925
1036,1291,"1,3-Dithiolane-2-thione",C3H4S3,8,A,3,,5.589,-0.593
1052,1291,tricyanomethane,CH(CN)3,8,E,6.4,3.2,2.957,14.572
1068,1293,acrylonitrile,C3H3N,7,A',1.7,,4.26,-0.7
1085,1294,vinylazine,CH2CHNH,7,A',30,,2.717,0.825
1111,1297,Boranamine,BH2NH2,4,A1,106.4,3.2,1.821,0.801
1192,1301,ethenol,CH2CHOH,8,A',3.3,,2.981,1.757
1193,1301,"1,3-dichloropropyne",CH2ClCCCl,4,A',77,,1.877,-0.555
1195,1301,Glycine,H2NCH2COOH,8,A',19.4,,1.332,4.448
1250,1304,aminomethanimine,NHCHNH2,8,A,33,,2.813,-3.983
1261,1305,Dicyanoketenimine,HN=C=C(CN)2,4,A',0.7,47,2.957,14.572
1294,1307,perchloric acid,HClO4,2,A',191.4,,3.034,-4.502
1317,1309,Ethanethioamide,CH3CSNH2,11,A,82.8,1,5.371,-4.024
1332,1310,"Ethene, fluoro-",CH2CHF,6,A',1.3,,1.528,-2.394
1376,1313,dimethylselenide,CH3SeCH3,19,B2,21.6,,1.703,-0.967
1377,1313,Magnesium Sulfate,MgSO4,7,B1,370,,14.255,30.428
1419,1316,2H-Azirine,CHNCH2,5,A',13.3,,1.843,0.821
1460,1320,methyltrichlorosilane,SiCl3CH3,2,A1,25,,2.469,5.547
1545,1329,Sulfur tetrafluoride oxide,SOF4,1,A1,318,,1.482,-1.822
1551,1330,methyl amine,CH3NH2,13,"A""",0.1,4.1,1.535,1.997
1566,1331,dimethylphosphine,CH3PHCH3,19,"A""",1.3,,1.376,2.585
1573,1333,"1,3-dioxetane",C2H4O2,6,B1g,0,,1.987,0.965
1598,1335,5-Aminotetrazole,CH3N5,8,A,2.6,,6.19,-1.712
1608,1336,methanesulfonamide,CH3SO2NH2,18,"A""",326.4,,3.866,-7.231
1624,1337,hydroxymethylimine,HOCHNH,6,A',31.5,,4.101,-2.138
1642,1339,Methyl phosphine,CH3PH2,5,A',0.2,,1.273,1.763
1677,1343,"Borane, methyloxo-",CH3BO,3,A1,15.6,,2.459,1.305
1714,1347,Dimethyl sulfoxide,CH3SOCH3,19,"A""",0.6,0.4,4.498,6.673
1736,1349,diaminomethane,NH2CH2NH2,14,B1,0,,2.088,3.694
1775,1354,Dimethyl sulfide,CH3SCH3,19,B2,10.4,2.6,1.798,-2.213
1776,1354,1H-Azirine,CHNHCH,4,A',20.1,,1.843,0.821
1778,1355,Propiolic acid,C3H2O2,5,A',151.4,,1.842,-3.076
1796,1356,Methyl alcohol,CH3OH,6,A',44.2,,1.867,-1.338
1798,1356,Aminoacetonitrile,NH2CH2CN,6,A',19.4,,2.612,6.737
1814,1358,formaldoxime,CH2NOH,6,A',101.1,,4.101,-2.138
1817,1358,"Disulfide, dimethyl",CH3SSCH3,19,B,11.9,,2.379,-2.642
1819,1358,aminomethanol,NH2CH2OH,10,A,11.4,,1.856,3.828
1838,1361,hydroxy(methylene)borane,CH2BOH,4,A',0.1,,2.459,1.305
1854,1362,Sodium Carbonate,Na2CO3,1,A1,695.6,,8.809,-22.48
1924,1367,Methanethiol,CH3SH,5,A',13.5,1.1,1.785,-2.82
1926,1368,vinylene carbonate,C3H2O3,14,B2,72.5,0,5.324,-0.609
1963,1371,Thioacetaldehyde,CH3CHS,6,A',62.3,,1.263,-5.468
1991,1374,trichloroacetaldehyde,CCl3CHO,3,A',19.6,,1.786,2.277
2059,1381,Acetaldehyde,CH3CHO,7,A',7,3.4,2.981,1.757
2064,1381,Methanimidothioic acid,NHCHSH,5,A',36.9,6.9,5.185,-5.166
2107,1385,"Ethane, 1,1-difluoro-",CH3CHF2,6,A',8.2,0.8,2.229,-3.114
2112,1385,Thiourea,NH2CSNH2,4,A,374.3,,6.13,1.107
2164,1391,"Ethene, 1,1-dichloro-",CH2CCl2,3,A1,0.2,,1.816,4.468
2210,1394,Acetyl Chloride,CH3COCl,5,A',17.8,,3.038,1.94
2213,1394,Urea,NH2CONH2,13,B,244.2,,3.846,-3.068
2226,1395,3-butyn-2-one,CH3COCCH,7,A',27.1,,3.251,-1.162
2295,1399,silaethylene,CH2SiH2,3,A1,5.9,,0.697,1.395
2297,1399,nitrosomethane,CH3NO,5,A',5.9,,4.101,-2.138
2368,1402,Methyl nitrate,CH3NO3,6,A',222.4,,3.834,2.501
2444,1406,Acetonitrile,CH3CN,3,A1,0.6,8.1,1.843,0.821
2475,1407,propyne,CH3CCH,4,A1,1.3,,0.638,5.807
2595,1410,allene,CH2CCH2,7,B2,0,0.2,0.638,5.807
2641,1412,"1,1,1-tribromoethane",CH3CBr3,2,A1,2.3,,1.754,3.111
2644,1412,"Methane, nitro-",CH3NO2,5,A',0.1,1.3,4.017,-5.098
2663,1413,"Ethane, 1,1,1-trichloro-",CH3CCl3,2,A1,3.8,,2.073,3.52
2699,1415,"1,1-Dichloro-1-fluoroethane",CH3CFCl2,4,A',11.1,,2.214,-1.341
2735,1417,peroxy nitric acid,HOONO2,4,A,267.7,,2.654,3.818
2782,1420,Sulfuric acid,H2SO4,10,B,410.5,,3.465,-0.741
2942,1436,Guanidine,CH5N3,9,A,146.7,,2.879,-4.552
3028,1444,methyl isocyanide,CH3NC,3,A1,13.9,,1.843,0.821
3121,1450,methyl hypochlorite,CH3OCl,4,A',15.2,,2.027,-2.024
3159,1453,Thiirane,C2H4S,13,B2,0,,1.263,-5.468
4704,1500,methyleneaminomethylene,H2CNCH,4,A',0.2,,1.843,0.821
4729,1503,cyclopropene,C3H4,4,A1,6.2,15.6,0.638,5.807
4928,1586,"Silane, amino",SiH3NH2,4,A',61.1,4.1,1.348,1.388
5100,1632,Ethynamine,HCCNH2,4,A',36.7,,1.843,0.821
5202,1655,Ammonium chloride,NH4Cl,6,E,28.9,10.5,4.7,5.393
5216,1658,Water Ammonia Dimer,H2ONH3,12,"A""",25.1,,3.993,-1.57
5728,2127,silanol,SiH3OH,9,"A""",305.1,59.1,1.527,-1.693
5789,2183,(trichloromethyl)silane,SiH3CCl3,1,A1,71,,2.469,5.547
5817,2229,Borane carbonyl,BH3CO,2,A1,347.8,68.9,2.459,1.305
5851,2311,borane phosphine,BH3PH3,2,A1,85.1,,4.539,-4.473
6003,2640,Hexafluorophosphate neutral,PF6,12,B2,119102.1,,0.756,0.894
10270,3624,Selenic acid,H2SeO4,9,B,374,,2.845,-2.188
177,1217,"1,3-Butadiene, 2-chloro-",CH2CClCHCH2,11,A',52.5,13.6,1.794,-6.625
271,1226,pentafluoroethane,CF3CHF2,4,A',218.7,,1.645,-2.323
274,1227,Ethylene carbonate,C2H4CO3,7,A,244.6,,5.233,-1.643
788,1269,"Ethene, 1,2-dibromo-, (E)-",CHBrCHBr,3,Ag,0,,2.071,7.839
817,1272,"Ethane, 1,1,1-trifluoro-",CH3CF3,9,E,281.4,,1.719,5.995
831,1274,Furan,C4H4O,18,B2,0.2,0.6,3.251,-1.162
902,1280,thioformamide,CHSNH2,6,A',250.4,6.2,5.185,-5.166
1021,1289,Acetaldoxime,CH3CHNOH,9,A',68.3,,4.085,0.852
1496,1325,Methane selenol,CH3SeH,5,A',20.9,,1.608,-3.894
1654,1341,"Ethene, 1,1-difluoro-",CH2CF2,10,B2,253.3,,1.249,1.645
2879,1430,Ethenimine,H2CCNH,4,A',0.6,,1.843,0.821
3013,1443,methylisocyante,CH3NCO,6,A',59.5,18.4,3.242,1.204
4497,1488,Sodium methoxide,NaOCH3,6,E,5.8,,7.56,12.953
22,1202,cyanomethanol,HOCH2CN,8,A,28.9,3,3.242,1.204
69,1206,1-amino vinyl alchohol,CH2C(OH)NH2,10,A,126,12.1,4.085,-6.101
91,1208,oxo acetic acid,CHOCOOH,7,A',26.8,,3.91,5.02
92,1208,N-methylformamide,HCONHCH3,12,A,109.1,,4.085,-6.101
93,1209,Furazan,C2H2N2O,13,B2,2.6,1,3.808,3.765
195,1219,"2-Oxetanone, 4-methylene-",C4H4O2,10,A,4.3,,4.011,2.25
458,1242,(Z)-1-Chloro-2-fluoroethene,CHFCHClz,5,A',39,,2.617,-2.7
610,1255,Ethaninidic acid,CH3C(OH)=NH,9,A',108.1,,4.085,-0.962
789,1270,Nitrosoethylene,C2H3NO,7,A',0.9,11.5,3.242,-0.709
1418,1316,Acetamide,CH3CONH2,11,A,149.2,,4.085,-1.426
