Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment,Melting temperature  [�C],,,,,,,,,,
2061,1381,Phosphoryl fluoride,F3PO,1,A1,314.9,,1.959,-5.407,"gas, rapidly hydrolises",https://en.wikipedia.org/wiki/Phosphoryl_fluoride,,,,,,,,,
2517,1408,Ketene,CH2CO,3,A1,15,2.7,1.632,-1.617,"gas only stable at low temperatures, it is used",https://en.wikipedia.org/wiki/Ethenone,,,,,,,,,
2806,1423,"Methane, trifluoro-",CHF3,4,E,113.8,3.1,1.698,3.723,"HF for buy, -155.2",https://en.wikipedia.org/wiki/Fluoroform,,,,,,,,,
2858,1428,Phosphorus mononitride,PN,1,Σ,0.2,34.7,2.921,-2.917,tends to self polymerise,https://en.wikipedia.org/wiki/Phosphorus_mononitride,,,,,,,,,
2944,1436,Nitrogen trioxide,NO3,1,A1,227.3,,1.241,-1.86,"anion or radical, not sure if exists alone",https://en.wikipedia.org/wiki/Nitrate; https://en.wikipedia.org/wiki/Nitrate_radical,,,,,,,,,
2970,1439,Water-d1,HDO,3,A',90.5,,2.198,-2.153,liquid  ,,,,,,,,,,
3027,1444,methyl lithium,CH3Li,5,E,4.9,,5.72,10.658,solid,https://amp.chemicalbook.com/ChemicalProductProperty_EN_CB7234211.htm,,,,,,,,,
3117,1450,Phosphaethene,CH2PH,4,A',0.4,,1.289,-1.972,HF,,,,,,,,,,
4347,1483,Scandium monohydride,ScH,1,Σ,341,,1.317,-5.584,HF,,,,,,,,,,
4559,1490,Thioformaldehyde,H2CS,2,A1,9.2,,2.232,3.16,gas,https://en.wikipedia.org/wiki/Thioformaldehyde,,,,,,,,,
4667,1497,Nitrogen trifluoride oxide,F3NO,1,A1,682.5,,1.318,-2.687,gas,"https://en.wikipedia.org/wiki/Trifluoramine_oxide#:~:text=Trifluoramine%20oxide%20or%20Nitrogen%20trifluoride,molecule%20with%20strong%20fluorinating%20powers.&text=Except%20where%20otherwise%20noted%2C%20data,F%5D%2C%20100%20kPa).",,,,,,,,,
4862,1532,methyleneazane,HCNH,3,A',10.9,,2.408,-1.159,HF,,,,,,,,,,
5023,1616,water oxide,H2OO,2,A',118.5,4.3,4.052,1.766,HF --> peroxide,,,,,,,,,,
5081,1628,Diazocarbene,CNN,1,Σ,0.7,141.4,0.801,-5.263,carbenes are usually very reactive and thus unstable,https://en.wikipedia.org/wiki/Carbene,,,,,,,,,
5249,1669,Nitrogen oxide sulfide,SNO,1,A',489,312.2,1.011,1.721,HF,,,,,,,,,,
5255,1671,3H-Diazirin-3-ylidene,CN2,1,A1,19.5,,0.801,-5.263,HF,,,,,,,,,,
5432,1755,aluminum dihydride,AlH2,1,A1,117,,0.674,-1.92,I think cannot be found alone,https://pubs.acs.org/doi/10.1021/jacs.6b00032,,,,,,,,,
5480,1791,Silicon dicarbide,SiC2,1,A1,45.4,37.2,2.454,-1.793,HF,,,,,,,,,,
5501,1803,Bromine nitrite,BrONO,1,A',304,,1.016,0.964,HF,,,,,,,,,,
5502,1803,Oxirene,C2H2O,2,A1,0.7,71.7,1.632,-1.617,has not yet been prepared in the free form,https://de.wikipedia.org/wiki/Oxirene,,,,,,,,,
5549,1823,Nitrosyl nitrite,ONONO,7,B2,462.4,,1.969,5.445,HF,,,,,,,,,,
5552,1824,chlorine nitrite,ClONO,1,A',278.3,,1.642,1.106,"gas, not easy to buy",https://es.wikipedia.org/wiki/Cloruro_de_nitrilo,,,,,,,,,
5605,1863,Boron dioxide,BO2,1,Σ,21.8,,1.826,-6.565,"HF, maybe only theoretical",,,,,,,,,,
5613,1872,Mercapto-d,DS,1,Σ,8.2,,1.08,2.146,not sure if it exists alone,https://en.wikipedia.org/wiki/Thiol,,,,,,,,,
5614,1875,Carbonic dibromide,COBr2,1,A1,446.7,,1.38,-5.031,liquid,https://en.wikipedia.org/wiki/Carbonyl_bromide,,,,,,,,,
5622,1882,Hydrogen sulfide-d2,D2S,1,A1,4.1,,1.414,0.662,"gas, not sure if the deuteration gives it some special properties",https://en.wikipedia.org/wiki/Hydrogen_sulfide,,,,,,,,,
5639,1907,Nitrosyl bromide,BrNO,1,A',1501.1,,2.171,-0.515,"red as :D, HF for buying",https://en.wikipedia.org/wiki/Nitrosyl_bromide,,,,,,,,,
5645,1922,Carbonic chloride fluoride,COFCl,1,A',530.2,,1.393,2.97,"liquid, not sure if exists",https://www.chemeo.com/cid/16-084-1/Carbonic-chloride-fluoride,,,,,,,,,
5655,1946,Tricarbon monoxide,C3O,2,Σ,184.8,,1.844,-8.761,reactive radical,https://en.wikipedia.org/wiki/Tricarbon_monoxide,,,,,,,,,
5656,1949,carbonyl monochloride,ClCO,1,A',524.5,,0.729,1.552,not sure if it exists alone,https://de.wikipedia.org/wiki/Carbons%C3%A4urechloride,,,,,,,,,
5657,1950,fluorosilylene,HSiF,1,A',527,206.9,1.113,5.387,HF,,,,,,,,,,
5667,1984,silicon dihydride,SiH2,3,B2,437.3,,0.532,-4.676,this is a sylene which are usually highly reactive,https://en.wikipedia.org/wiki/Silylene,,,,,,,,,
5673,1995,monofluorogermane,GeH3F,1,A1,25,221.3,2.141,-2.791,not sure if it exists alone,https://pubs.aip.org/aip/jcp/article-abstract/64/12/5035/463803/Microwave-spectrum-molecular-structure-barrier-to?redirectedFrom=fulltext,,,,,,,,,
5675,1996,Dicarbon monoxide,CCO,1,Σ,368,,1.419,-7.513,very reactive,,,,,,,,,,
5681,2008,monobromosilylene,HSiBr,1,A',372.3,191.2,1.537,3.389,produced by electric discharge,https://pubs.aip.org/aip/jcp/article-abstract/105/23/10189/181425/Resolution-of-anomalies-in-the-geometry-and?redirectedFrom=fulltext,,,,,,,,,
5695,2054,Hydrochloric acid-d,DCl,1,Σ,12.5,,1.502,3.599,liquid,,,,,,,,,,
5699,2073,Aluminum isocyanide,AlNC,1,Σ,564.5,79.4,3.278,-12.539,HF,,,,,,,,,,
5702,2076,hydrogen isocyanide,HNC,2,Σ,81.5,,3.209,2.033,"isomer HCN, HCN is more common",,,,,,,,,,
5713,2094,Sodium Cyanide,NaCN,1,A',66.3,,9.096,3.554,solid,https://en.wikipedia.org/wiki/Sodium_cyanide,,,,,,,,,
5715,2100,methyl chloride d3,CD3Cl,1,A1,25.1,,2.243,1.749,"gas, not sure about deuteration role",https://en.wikipedia.org/wiki/Chloromethane,,,,,,,,,
5757,2150,bromoacetylene,HCCBr,2,Σ,11.4,,0.588,9.218,HF,,,,,,,,,,
5778,2169,Chloroacetylene,HCCCl,2,Σ,22,,0.842,7.488,HF,,,,,,,,,,
5784,2176,monofluorosilane,SiH3F,4,E,257.4,54.1,1.474,-1.142,HF,,,,,,,,,,
5788,2182,bromosilane,SiH3Br,1,A1,95.4,,1.767,2.972,HF,,,,,,,,,,
5827,2253,Aluminum monocyanide,AlCN,1,Σ,53.3,65.6,3.278,-12.539,"liquid, but seems HF",https://www.lookchem.com/ProductWholeProperty_LCPL131827.htm,,,,,,,,,
5830,2258,Boron monohydride,BH,1,Σ,391.1,,1.493,-4.062,"gas, it degrates when condensed",https://en.wikipedia.org/wiki/Boron_monohydride,,,,,,,,,
5836,2296,Selenium monohydride,HSe,1,Σ,24.4,172.1,0.728,2.606,HF,,,,,,,,,,
5844,2304,hydrogen diselenide,H2Se2,1,A,18,194.5,1.066,-0.83,not stable at room temperature,https://en.wikipedia.org/wiki/Hydrogen_diselenide,,,,,,,,,
5863,2336,Phosphinous acid,H2POH,7,"A""",194.7,,4.176,-3.822,short lived,https://en.wikipedia.org/wiki/Phosphinous_acid,,,,,,,,,
5866,2338,Nitrogen sulfide,NNS,1,Σ,297,,1.322,0.953,HF,,,,,,,,,,
5927,2423,Cyanogen fluoride,FCN,1,Σ,156.6,,1.803,-3.134,gas,https://en.wikipedia.org/wiki/Cyanogen_fluoride,,,,,,,,,
5967,2583,"Borane, dichloro-",BHCl2,1,A1,104.9,,0.939,0.988,HF,,,,,,,,,,
6007,2686,hydrogen boron sulfide,HBS,1,Σ,50,61.5,2.193,3.435,HF,,,,,,,,,,
6013,2750,Methylidyne,CH,1,Σ,172.7,130.5,1.582,-1.269,not alone,,,,,,,,,,
6905,2890,bromomethylene,CHBr,1,A',50.8,,1.555,1.335,HF,,,,,,,,,,
10314,3676,Hypobromous acid,HOBr,1,A',120.6,,1.704,-2.724,"liquid, generally used in aq. Solution",,,,,,,,,,
345,1233,Hydroxyimidogen,NOH,2,A',44.8,,2.081,-0.819,HF,,,,,,,,,,
829,1273,Lithium Hydride,LiH,1,Σ,192.5,,5.981,-1.471,solid,https://en.wikipedia.org/wiki/Lithium_hydride,,,,,,,,,
2921,1434,Zinc monohydride,ZnH,1,Σ,254.9,,0.858,-6.67,HF,,,,,,,,,,
3323,1460,Selenoformaldehyde,H2CSe,2,A1,7.1,3.5,1.978,5.128,HF,,,,,,,,,,
4902,1561,Nitrosyl hydride,HNO,3,A',39.1,,2.081,-0.819,short lived,https://en.wikipedia.org/wiki/Nitroxyl,,,,,,,,,
5679,2006,Chlorosilylene,HSiCl,1,A',401.3,205,1.818,4.535,HF,,,,,,,,,,
157,1216,borohydride,BH4,3,A1,53.6,,1.152,1.192,anion  ,https://en.wikipedia.org/wiki/Borohydride,,,,,,,,,
5719,2109,Zinc isocyanide,ZnNC,1,Σ,363.6,,4.711,-12.744,HF,,,,,,,,,,
