Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment,Quadrupole moment
94,1209,"1H-Tetrazole, 1-methyl-",C2H4N4,10,A',31.2,,5.991,0.865
98,1209,Hexanoic acid,C6H12O2,42,"A""",0.2,,1.959,0.673
102,1210,1-Butanamine,C(NH2)H2CH2CH2CH3,34,"A""",0,,0.999,0.719
103,1210,Azulene,C10H8,11,A1,0,,1.537,5.63
105,1210,"1-Propene, 3-chloro-",C3H5Cl,11,A,0.6,,2.422,0.967
106,1210,Cyclopropanol,C3H5OH,11,A,41.9,,0.678,-3.451
109,1210,1-Pentanol,C5H12O,18,A',63.3,,1.636,-0.763
114,1210,diethylamine,NH(C2H5)2,13,A',2.7,,0.999,0.719
116,1211,"2-Methyl-1,2-propanediamine",C4H12N2,15,A',33,,2.017,-3.718
118,1211,furfural,C5H4O2,11,A',20,5.3,1.76,12.644
120,1211,Chloromethylene,HCCl,2,A',7.9,,1.66,1.782
121,1211,Fluorosulfonic acid,HSO3F,3,A,250.2,,3.272,-1.838
123,1212,"Carbonochloridic acid, ethyl ester",C3H5ClO2,13,A,671.9,,4.353,3.393
126,1212,Proline,C5H9NO2,22,A,14.1,,1.442,0.51
128,1212,chlorofluoromethylene,CFCl,1,A',306.5,,0.533,2.302
129,1212,acetophenone,CH3COC6H5,17,A',4,,3.25,-4.632
133,1213,propanedial,C3H4O2,11,A,3.5,,0.823,5.155
134,1213,Oxetane,C3H6O,10,A2,0,,0.678,-3.451
141,1213,Dimethyl ether,CH3OCH3,20,B2,161.5,0.4,1.477,-2.597
149,1215,"1,3-Dioxolane",C3H6O2,8,A,85.1,,1.869,1.939
150,1215,Uracil,C4H4N2O2,12,A',13.9,,4.72,2.026
154,1215,"Butane, 1-chloro-",CH2ClCH2CH2CH3,29,"A""",0.2,,2.486,1.238
155,1215,Acetone,CH3COCH3,19,B,76.4,0.8,0.678,-3.451
156,1215,Sulfur imide,HNS,2,A',60.3,,1.707,1.258
161,1216,"Propane, 1,2,3-trichloro-",C3H5Cl3,7,A',39.1,,1.786,1.765
166,1216,"(E)-1,2-Dimethyldiazene",CH3NNCH3,6,Ag,0,,2.568,-5.306
169,1217,"1,3,5-Trioxane",C3H6O3,16,E,332.9,,2.187,-0.72
178,1217,Sarcosine,CH3NHCH2COOH,17,A,1.6,,5.56,7.727
182,1218,"Thiophene, tetrahydro-3-methyl-",C5H10S,22,A,2,,1.86,-5.977
190,1218,Acetic acid,CH3COOH,10,A,248.5,,1.987,0.965
192,1218,Chloryl fluoride,ClO2F,5,"A""",291.2,,2.33,-3.918
193,1219,"1,2-difluoroethane",C2H4F2,8,Au,6.9,0,2.229,-3.114
194,1219,trioxolane124,C2H4O3,16,B,5.8,,2.417,1.85
203,1219,thionyl chloride,SOCl2,1,A',302.6,,2.104,0.827
210,1220,cyclohexanone,C6H10O,36,"A""",32.9,,3.389,5.839
211,1220,Nitrobenzene,C6H5NO2,31,B2,15.8,,5.075,-5.202
218,1221,Sulfur dioxide,SO2,1,A1,63.8,28,2.186,1.467
219,1222,"2-Propanethiol, 2-methyl-",C(CH3)3SH,31,"A""",2.8,1.8,1.922,-0.786
220,1222,"2H-Thiete-1,1-dioxide",C3H4O2S,7,A',43.6,,5.695,-9.924
223,1222,Pentanenitrile,C5H9N,31,"A""",0,,4.362,8.803
227,1222,nitrosobenzene,C6H5NO,12,A',13,0.2,3.552,-2.996
230,1222,"1-Propanethiol, 2-methyl-",CH2(SH)CH(CH3)CH3,21,A,4.3,,1.922,-0.786
231,1222,dibromomethane,CH2Br2,8,B2,104,,1.744,3.612
233,1222,1-Propanamine,NH2CH2CH2CH3,27,"A""",0,,0.744,-3.485
244,1223,aniline,C6H5NH2,27,"A""",5.8,,1.738,-4.472
248,1223,dichloroacetaldehyde,CHCl2CHO,5,A',14.7,,0.77,1.7
249,1223,"1,2-oxaziridine",CNOH3,8,A,0.4,,4.101,-2.138
258,1224,Methoxyacetonitrile,CH3OCH2CN,13,A,111.4,,3.439,3.593
268,1226,triethylamine,C6H15N,32,E,19.4,,0.723,-2.063
273,1226,Serine,HO2CCHNH2CH2OH,16,A,45.8,,3.342,2.419
278,1227,"2,4-Cyclohexadienone",C6H6O,13,A',24.5,,4.709,-6.985
282,1228,1-Propanol,C3H7OH,18,A,67.7,3.2,1.354,-1.116
291,1228,(E)-1-chloro-2-fluoroethene,CHFCHCl,5,A',6.8,,2.617,-2.7
293,1229,Malononitrile,C3H2N2,7,A2,0,,3.999,8.013
300,1229,Fluoromethylene,HCF,2,A',112.7,2.6,1.471,2.153
301,1229,Disulfur monoxide,SSO,1,A',276.7,34.6,1.908,4.146
304,1230,1-Propanethiol,C3H7SH,24,"A""",0.6,,1.799,-2.505
310,1230,Acetyl fluoride,CH3COF,6,A',249.1,,1.206,5.038
311,1230,Hydrogen sulfide,H2S,2,A1,8.8,45.9,1.413,0.663
313,1230,β–alanine,NH2CH2CH2COOH,17,A,54.9,,5.56,7.727
314,1231,"2-Propanamine, 2-methyl-",C(CH3)3NH2,14,A,42.2,,0.999,0.719
317,1231,Aziridine,C2H5N,6,A',18.7,,1.736,-1.212
325,1231,Vinyl ether,CH2CHOCHCH2,13,A,353.5,,0.958,3.127
326,1231,"Propane, 1-chloro-",CH2ClCH2CH3,22,"A""",0.4,,2.519,0.95
327,1231,Fluoroacetaldehyde,CH2FCHO,12,"A""",1.5,,1.206,5.038
328,1231,Carbamic acid,NH2COOH,7,A,216.4,,4.017,-5.098
329,1232,Beryllium Carbonate,BeCO3,7,B2,609.1,,7.362,11.401
339,1233,(Z)-2-Butenenitrile,C4H5N,10,A',0.8,,4.865,2.338
343,1233,N-methylmethanimine,CH2NCH3,9,A',20.5,,1.736,-1.212
349,1234,"Furan, 2-chloro",C4H3ClO,7,A',19.1,,2.098,-5.912
354,1234,Indole,C8H7N,17,A',12.5,,2.051,-14.053
355,1234,trifluoroacetaldehyde,CF3CHO,5,A',235.9,,1.958,1.862
361,1235,2-Butanamine,CH3C(NH2)HCH2CH3,24,A,0.8,,0.999,0.719
363,1235,Sulfurous acid,H2SO3,2,A',225.1,,1.74,2.419
367,1236,Butanamide,C4H9NO,21,A,1.2,,3.763,-1.392
369,1236,(E)-1-Chloro-1-butene,CHClCHCH2CH3,16,A,9.3,,2.528,2.792
370,1236,Hydrogen phosphorus oxide,HPO,2,A',89,,2.705,3.722
373,1237,Diethyl sulfoxide,C4H10OS,22,A,0.6,,4.57,1.863
378,1237,"Ethane, methoxy-",CH3OC2H5,12,A',81.9,,1.354,-1.116
379,1237,fluorochlorobromomethane,CHFClBr,3,A,114.8,4.2,1.439,2.451
380,1237,Hydroxyacetic acid,HOCH2COOH,16,"A""",0,,2.417,1.85
381,1237,Amminetrifluoroboron,NH3BF3,9,E,430.5,,6.17,9.912
386,1238,2H-Imidazole,C3H4N2,19,B2,2.5,,2.424,-6.247
389,1238,"1,3-Propanedithiol",C3H8S2,29,B2,26.1,,3.155,2.244
392,1238,4-Methylthiazole,C4H5NS,12,A,1.5,,1.133,-4.328
394,1238,Cyclobutanol,C4H8O,26,"A""",0.3,,1.761,-3.254
403,1238,hydroxy acetaldehyde,CHOCH2OH,14,"A""",1.2,,1.987,0.965
419,1239,"1-Chloro-1,1-Difluoroethane",CH3CF2Cl,5,A',165.4,,2.296,-2.132
420,1239,2-Propanamine,CH3CH(NH2)CH3,27,"A""",0.1,,0.744,-3.485
421,1239,"3,3-dichloropropyne",CHCl2CCH,11,"A""",38.8,,1.877,-0.555
422,1239,Butanal,CHOCH2CH2CH3,26,"A""",0,,1.761,-3.254
430,1240,"Acetonitrile, trifluoro-",CF3CN,2,A1,433.9,,1.495,-6.62
434,1240,formamide,CHONH2,7,A',155.1,,4.101,-2.138
435,1240,Ethyl formate,HCOOC2H5,11,A',551.7,1.3,1.869,1.939
440,1241,"Thiophene, 3-methyl-",C5H6S,11,A',3.9,,0.933,-7.409
445,1241,"Propane, 2-chloro-2-methyl-",CH3CCl(CH3)CH3,19,E,5.1,,2.486,1.238
446,1241,Butanenitrile,CH3CH2CH2CN,24,"A""",0.1,,4.264,6.464
456,1242,"1,1-Dichloro-2,2,2-trifluoroethane",CF3CHCl2,13,"A""",190.2,,1.419,-1.134
460,1243,Thietane,C3H6S,19,"A""",16.6,,3.343,-1.33
466,1243,Benzene trifluoride 123,C6H3F3,6,A1,43.2,,3.25,3.852
470,1243,"1-Butene, 4-chloro-",CH2CHCH2CH2Cl,15,A,0.1,,2.528,2.792
473,1244,(E)-Azodioxymethane,C2H6N2O2,26,Bu,303.6,,4.853,1.795
481,1244,trifluoromethanol,CF3OH,9,"A""",467.6,,2.079,-2.407
482,1244,"1,1,2-trichloroethane",CH2ClCHCl2,7,A,35.8,,2.073,3.52
487,1245,"Isoxazole, 5-methyl-",C4H5NO,12,A,34.7,,3.43,-2.627
493,1246,Ethyl bromide,C2H5Br,15,"A""",0.3,,2.417,-1.267
505,1246,"Ethane, 1,1,2-trifluoro",CHF2CH2F,8,A,18.6,8.9,1.719,5.995
506,1246,ethynol,HCCOH,4,A',141.4,,1.632,-1.617
508,1247,Isoxazole,C3H3NO,7,A',9.9,10.7,3.277,-3.342
511,1247,"1H-Imidazole, 2-methyl-",C4H6N2,14,A,15,,3.721,-5.778
521,1247,Allyl Fluoride,CH2CHCH2F,16,"A""",0.3,10.3,1.824,-2.012
523,1248,Diethyl sulfide,C2H5SC2H5,16,A2,0,,1.922,-0.786
524,1248,(Methylsulfonyl)ethane,C3H8O2S,18,A,15.1,,5.209,-5.728
530,1248,fluorochloromethane,CH2FCl,8,"A""",4.3,,2.143,1.143
531,1248,ethanimine,CH3CHNH,9,A',32.5,,1.736,-1.212
538,1249,2-fluoroethanol,CH2FCH2OH,11,A,11.2,10.9,1.628,1.546
539,1249,Ethylamine,CH3CH2NH2,20,"A""",0,,1.143,1.433
540,1249,methyl azide,CH3N3,6,A',307.2,,2.007,0.899
541,1249,"Ethane, 1,2,2-trichloro-1,1-difluoro-",CHCl2CClF2,4,A,164.8,,1.484,-2.041
543,1249,"Urea, N,N'-dimethyl-",NH(CH3)CONH(CH3),27,B,266.6,,3.825,-3.776
550,1250,"Ethane, (methylthio)-",CH3SCH2CH3,24,"A""",0,,1.799,-2.505
552,1250,"Urea, N,N-dimethyl-",N(CH3)2CONH2,19,A,33.3,,3.825,-3.776
558,1251,"1,2-Ethanedithiol",CH2SHCH2SH,21,Bu,77.4,,2.379,-2.642
559,1251,"Butane, 2-chloro-",CH3CHClCH2CH3,20,A,19,,2.486,1.238
560,1251,Dimethylamine,CH3NHCH3,8,A',0.7,,1.143,1.433
562,1251,diaminoethylene,H2NCHCHNH2,7,A,0,18.6,2.568,-5.306
570,1252,phenyl,C6H5,24,B2,0.1,,0.691,1.17
571,1252,Nitrosamide,NH2NO,5,A,129.1,,3.587,-1.335
576,1253,Acetylacetone,C5H8O2,10,A,30,,1.828,5.012
580,1253,trifluoroacetyl fluoride,CF3COF,11,"A""",311.4,,0.927,4.026
581,1253,fluoromethanol,CH2FOH,7,A,13.2,7.5,1.776,1.76
582,1253,methyl formate,CH3OCHO,8,A',399.1,,1.987,0.965
584,1253,Nitrous oxide,N2O,2,Σ,164.9,5.7,0.701,-4.271
596,1254,"1-Butene, 3-chloro-",CH2CHCHClCH3,15,A,44,,2.528,2.792
597,1254,1-Fluoropropane,CH2FCH2CH3,16,A,1.6,,1.925,1.439
602,1255,Propyl nitrite,C3H7ONO,17,A,3.3,,5.56,7.727
607,1255,"1,2-dichlorobenzene",C6H4Cl2,25,B2,4.5,,3.163,4.815
611,1255,Ethanol,CH3CH2OH,9,A',121.7,4.4,1.477,-2.597
613,1255,monofluoroamine,NH2F,3,A',94.9,,2.542,1.841
626,1256,dimethyl hydrazine,CH3NHNHCH3,9,A,17.1,,1.661,-4.738
627,1256,Phosphine oxide,H3PO,2,A1,322.8,,4.176,-3.822
628,1256,Chloric Acid,HClO3,2,A',73,,1.908,-6.779
629,1257,Thiazole,C3H3NS,7,A',13.2,2.7,1.44,-4.234
631,1257,s-Ethyl thioacetate,C4H8OS,18,A,0,,4.647,2.129
633,1257,trifluoroacetyl chloride,CF3COCl,11,"A""",313.5,,0.923,2.884
642,1258,2-Butanethiol,CH3CH(SH)CH2CH3,21,A,4.8,,1.922,-0.786
643,1258,Chloroform,CHCl3,4,E,39.7,6.9,1.353,2.812
646,1259,vinyl bromide,C2H3Br,6,A',40,,1.81,-5.238
653,1259,"Ethane, 1,2-dichloro-",CH2ClCH2Cl,16,Bu,58.9,,2.393,-4.032
654,1259,Isopropyl alcohol,CH3CHOHCH3,17,A,87.1,,1.354,-1.116
655,1260,selenophene,C4H4Se,18,B2,19.6,1.2,0.831,1.946
663,1260,methyleneborane,CH2BH,4,A1,0,,0.738,2.026
664,1260,aminoethene,CH2CHNH2,10,A,41.1,,1.736,-1.212
665,1260,Dioxirane,CH2O2,8,B2,1.5,,5.463,-0.979
666,1260,2-Butenal,CHOCHCHCH3,12,A',0.4,,0.958,3.127
668,1261,"Oxirane, (chloromethyl)-",C3H5ClO,10,A,4.3,,0.741,5
670,1261,Propanamide,C3H7NO,16,A,153.6,,4.089,1.196
688,1262,"1,1,1,2-tetrafluorochloroethane",CF3CHFCl,5,A,305.7,,1.563,3.711
690,1262,Phosphorus monoxide,PO,1,Σ,68.4,,2.592,-2.492
710,1264,"Ethene, 1,2-difluoro-, (Z)-",C2H2F2,3,A1,37.7,,1.249,1.645
716,1264,Propanoic Acid,CH3CH2COOH,21,"A""",0.1,,1.869,1.939
717,1264,ethanethiol,CH3CH2SH,12,A,3.3,,1.798,-2.213
720,1265,vinyl,C2H3,5,A',3.4,,0.586,-2.74
725,1265,Propanal,CH3CH2CHO,19,"A""",0.3,6.9,0.678,-3.451
727,1265,Chlorous acid,HOClO,2,A,63.1,,3.227,1.573
729,1265,Silicon monoxide,SiO,1,Σ,89,15.7,3.251,-5.322
737,1266,trans-1-Fluoro-1-propene,CH3CHCHF,9,A',8.1,11.5,1.824,-2.012
738,1267,Tetraborane(10),B4H10,31,B2,1.8,,0.611,-2.035
741,1267,ethyl cyanide,C2H5CN,17,"A""",0,,4.152,3.75
748,1267,"Methane, difluoro-",CH2F2,5,A2,0,12.1,2.048,2.035
749,1267,"Ethane, 1,1-dichloro-",CH3CHCl2,14,"A""",60.3,,2.393,-4.032
750,1267,2-Butanone,CH3COCH2CH3,26,"A""",0.2,,1.761,-3.254
756,1268,purine,C5H4N4,13,A',9.4,,3.668,-3.289
767,1268,Acrylamide,CH2CHCONH2,11,A,138.4,,3.439,3.593
785,1269,"1,1,1,2-tetrabromo ethane",CH2BrCBr3,3,A',33.9,12.1,1.397,1.082
787,1269,Carbonothioic dihydrazide,CH6N4S,14,A,140.4,,7.615,-4.384
791,1270,Thiophene,C4H4S,18,B2,8.8,,0.898,0.816
830,1274,Trifluoroethylene,C2HF3,4,A',203.2,,1.436,1.334
840,1274,"1-Butene, 2-chloro-",CH2CClCH2CH3,23,"A""",0.5,,2.528,2.792
841,1274,chloroacetaldehyde,CH2ClCHO,7,A,37.2,,3.038,1.94
848,1276,"Nitric acid, ethyl ester",C2H5NO3,21,"A""",1.3,,4.128,4.266
855,1276,Hydrazinecarbothioamide,CH5N3S,11,A,263,,6.606,-4.934
856,1276,Trichloroethylene,CHClCCl2,3,A',13.7,,1.136,-1.761
865,1277,Divinyl sulfide,CH2CHSCHCH2,20,B,24.7,,1.487,-2.954
866,1277,"2-Butene, 1-chloro-",CH2ClCHCHCH3,15,A,59.1,,2.528,2.792
867,1278,fluoroethane,C2H5F,15,"A""",0.3,,1.966,1.268
877,1278,"Propane, 2-(methylthio)-",CH3C(SCH3)HCH3,21,A,39.3,,1.922,-0.786
878,1278,Thioacetone,CH3CSCH3,5,A1,172.6,,3.343,-1.33
894,1279,Lithium dioxide,LiO2,1,A1,1.3,448.9,6.137,9.264
903,1280,hypochlorous acid,HOCl,2,A',47.9,2.2,1.825,-2.435
904,1281,Ethylene oxide,C2H4O,3,A1,16,27.6,2.981,1.757
912,1281,fluorodichloromethane,CHFCl2,7,"A""",97.1,,1.533,-1.027
921,1282,"Propane, 2-chloro-",CH3CHClCH3,8,A',51.1,7.6,2.519,0.95
934,1283,Phosphoryl chloride,Cl3PO,1,A1,237,,2.533,-7.682
937,1283,"Urea, ethyl-",NH2CONHC2H5,18,A,5,,3.825,-3.776
955,1284,Cyanoimidogen,NCN,1,Σg,0,,0.801,-5.263
956,1284,Diaminoacetylene,NH2CCNH2,14,B,93.9,,2.612,6.737
957,1284,Phosphorus oxide phosphide,PPO,1,Σ,274.4,,1.485,-6.382
958,1285,"Ethene, ethoxy-",C2H3OC2H5,17,A,1.2,,1.761,-3.254
959,1285,3-Aminopropionitrile,C3H6N2,21,"A""",0.1,,4.093,9.538
968,1285,1H-Tetrazole,CH2N4,6,A',1.1,,5.642,-0.926
980,1287,"Ethene, chloro-",C2H3Cl,6,A',16.7,,1.852,-3.946
997,1288,Maleic Anhydride,C4H2O3,4,A1,232.8,,4.568,6.885
1008,1288,"1-Propene, 2-methoxy-",CH2C(CH3)OCH3,17,A,189.4,,1.761,-3.254
1009,1288,Ethenethiol,CH2CHSH,7,A',2.5,,1.263,-5.468
1022,1289,Sodium superoxide,NaO2,1,A1,0,627.9,8.241,5.565
1032,1290,"2,2,2-Trifluoroethyl chloride",CF3CH2Cl,4,A',178.1,,2.042,0.925
1036,1291,"1,3-Dithiolane-2-thione",C3H4S3,8,A,3,,5.589,-0.593
1052,1291,tricyanomethane,CH(CN)3,8,E,6.4,3.2,2.957,14.572
1067,1292,Urethane,NH2COOC2H5,16,A,1.3,,5.56,7.727
1068,1293,acrylonitrile,C3H3N,7,A',1.7,,4.26,-0.7
1085,1294,vinylazine,CH2CHNH,7,A',30,,2.717,0.825
1111,1297,Boranamine,BH2NH2,4,A1,106.4,3.2,1.821,0.801
1126,1297,2-Propanethiol,CH3CHSHCH3,9,A',17.7,,1.799,-2.505
1142,1299,trimethyl arsine,As(CH3)3,17,E,0.1,,1.193,-3.777
1176,1300,Phosphorus oxychloride,OPCl,1,A',168.1,,2.368,4.871
1192,1301,ethenol,CH2CHOH,8,A',3.3,,2.981,1.757
1193,1301,"1,3-dichloropropyne",CH2ClCCCl,4,A',77,,1.877,-0.555
1194,1301,Formyl bromide,COHBr,3,A',117.9,,2.098,0.82
1195,1301,Glycine,H2NCH2COOH,8,A',19.4,,1.332,4.448
1234,1304,Dimethyl sulfone,C2H6O2S,17,B1,300.6,,5.104,-0.983
1245,1304,Methylene chloride,CH2Cl2,8,B2,73.5,1.9,1.993,3.275
1247,1304,"Methane, bromodifluoro-",CHBrF2,2,A',155.2,,1.565,-2.945
1248,1304,"Propanal, 2-methyl-",CHOCH(CH3)CH3,11,A',3.5,,1.761,-3.254
1249,1304,Thiazyl fluoride,FSN,1,A',18.3,,1.405,2.302
1250,1304,aminomethanimine,NHCHNH2,8,A,33,,2.813,-3.983
1261,1305,Dicyanoketenimine,HN=C=C(CN)2,4,A',0.7,47,2.957,14.572
1265,1305,dimethylsilane,SiH2(CH3)2,24,B2,32.8,,0.671,-0.871
1291,1307,"2-Butene, 2-chloro-, (Z)-",CH3CClCHCH3,11,A',30,,2.528,2.792
1294,1307,perchloric acid,HClO4,2,A',191.4,,3.034,-4.502
1317,1309,Ethanethioamide,CH3CSNH2,11,A,82.8,1,5.371,-4.024
1321,1310,boron monocarbide,BC,1,Σ,0.4,,2.331,-2.834
1332,1310,"Ethene, fluoro-",CH2CHF,6,A',1.3,,1.528,-2.394
1335,1310,Phosphorus dioxide,PO2,3,B2,146.7,,2.031,3.793
1352,1311,Titanium monohydride,TiH,1,Σ,383.3,,1.88,-13.097
1376,1313,dimethylselenide,CH3SeCH3,19,B2,21.6,,1.703,-0.967
1377,1313,Magnesium Sulfate,MgSO4,7,B1,370,,14.255,30.428
1394,1315,Carbonic difluoride,CF2O,5,B2,475.8,0.1,1.339,-3.696
1416,1316,"Propanenitrile, 2-methyl-",CH3CH(CH3)CN,24,"A""",0.3,,4.264,6.464
1419,1316,2H-Azirine,CHNCH2,5,A',13.3,,1.843,0.821
1420,1316,Thionyl Fluoride,F2SO,1,A',244.5,,2.217,0.798
1449,1319,bromobenzene,C6H5Br,25,B2,1.4,,2.12,3.9
1459,1320,difluoramine,NHF2,2,A',57.7,,2.098,-2.37
1460,1320,methyltrichlorosilane,SiCl3CH3,2,A1,25,,2.469,5.547
1465,1321,phenylacetylene,C6H5CCH,29,B2,0.2,,4.876,11.083
1476,1323,Boron monofluoride,BF,1,Σ,174.6,3,0.878,-4.253
1499,1325,Phosphaethyne,HCP,2,Σ,4.8,,0.683,3.965
1522,1327,Chromium hydride,CrH,1,Σ,497.9,,1.617,-12.07
1544,1329,trimethylphosphine,P(CH3)3,17,E,3.5,,1.37,-4.649
1545,1329,Sulfur tetrafluoride oxide,SOF4,1,A1,318,,1.482,-1.822
1551,1330,methyl amine,CH3NH2,13,"A""",0.1,4.1,1.535,1.997
1566,1331,dimethylphosphine,CH3PHCH3,19,"A""",1.3,,1.376,2.585
1573,1333,"1,3-dioxetane",C2H4O2,6,B1g,0,,1.987,0.965
1583,1333,methyl bromide,CH3Br,2,A1,46.5,,2.192,4.109
1598,1335,5-Aminotetrazole,CH3N5,8,A,2.6,,6.19,-1.712
1608,1336,methanesulfonamide,CH3SO2NH2,18,"A""",326.4,,3.866,-7.231
1624,1337,hydroxymethylimine,HOCHNH,6,A',31.5,,4.101,-2.138
1642,1339,Methyl phosphine,CH3PH2,5,A',0.2,,1.273,1.763
1666,1342,Formyl chloride,COHCl,3,A',61.2,,2.198,1.309
1667,1342,Hydrogen peroxide,H2O2,6,B,118.8,,4.052,1.766
1677,1343,"Borane, methyloxo-",CH3BO,3,A1,15.6,,2.459,1.305
1705,1346,Methanimine,CH2NH,6,A',50.5,,3.294,-0.97
1706,1346,difluorochloromethane,CHF2Cl,2,A',128.4,,1.648,-2.402
1714,1347,Dimethyl sulfoxide,CH3SOCH3,19,"A""",0.6,0.4,4.498,6.673
1716,1348,pentaborane9,B5H9,8,A2,0,,2.238,-0.69
1728,1348,Hydroxymethylidyne,COH,2,A',164.8,3.4,2.569,0.997
1736,1349,diaminomethane,NH2CH2NH2,14,B1,0,,2.088,3.694
1766,1353,Isopropyl nitrite,CH3CH(CH3)ONO,16,A,9,,5.56,7.727
1775,1354,Dimethyl sulfide,CH3SCH3,19,B2,10.4,2.6,1.798,-2.213
1776,1354,1H-Azirine,CHNHCH,4,A',20.1,,1.843,0.821
1777,1354,Nitric acid,HNO3,4,A',172.1,,2.862,1.736
1778,1355,Propiolic acid,C3H2O2,5,A',151.4,,1.842,-3.076
1796,1356,Methyl alcohol,CH3OH,6,A',44.2,,1.867,-1.338
1797,1356,thiomethoxy,CH3S,6,A,9.5,,1.751,1.781
1798,1356,Aminoacetonitrile,NH2CH2CN,6,A',19.4,,2.612,6.737
1814,1358,formaldoxime,CH2NOH,6,A',101.1,,4.101,-2.138
1817,1358,"Disulfide, dimethyl",CH3SSCH3,19,B,11.9,,2.379,-2.642
1819,1358,aminomethanol,NH2CH2OH,10,A,11.4,,1.856,3.828
1827,1359,dimethyl trisulfide,CH3SSSCH3,6,A,1.1,,1.443,-3.903
1838,1361,hydroxy(methylene)borane,CH2BOH,4,A',0.1,,2.459,1.305
1840,1361,aminomethylene,CHNH2,6,A',49.7,8.5,3.294,-0.97
1854,1362,Sodium Carbonate,Na2CO3,1,A1,695.6,,8.809,-22.48
1864,1363,2-Fluoropropane,CH3CHFCH3,22,"A""",6,2.7,1.925,1.439
1924,1367,Methanethiol,CH3SH,5,A',13.5,1.1,1.785,-2.82
1926,1368,vinylene carbonate,C3H2O3,14,B2,72.5,0,5.324,-0.609
1931,1368,Thioketene,CH2CS,3,A1,5.9,22,1.821,3.89
1932,1368,sulfidoazane,NH3S,2,A1,76.8,,1.061,-1.154
1963,1371,Thioacetaldehyde,CH3CHS,6,A',62.3,,1.263,-5.468
1991,1374,trichloroacetaldehyde,CCl3CHO,3,A',19.6,,1.786,2.277
2022,1377,magnesium monohydride,MgH,1,Σ,277.6,,1.411,-8.821
2059,1381,Acetaldehyde,CH3CHO,7,A',7,3.4,2.981,1.757
2061,1381,Phosphoryl fluoride,F3PO,1,A1,314.9,,1.959,-5.407
2064,1381,Methanimidothioic acid,NHCHSH,5,A',36.9,6.9,5.185,-5.166
2088,1383,Methyl chloride,CH3Cl,2,A1,30.1,1.8,2.243,1.748
2101,1384,formyl fluoride,HFCO,3,A',7.1,,2.391,1.908
