Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity
293,1229,Malononitrile,C3H2N2,7,A2,0.0,
300,1229,Fluoromethylene,HCF,2,A',112.7,2.6
301,1229,Disulfur monoxide,SSO,1,A',276.7,34.6
303,1230,2-Propyn-1-ol,C3H4O,7,A',140.0,
304,1230,1-Propanethiol,C3H7SH,24,"A""",0.6,
310,1230,Acetyl fluoride,CH3COF,6,A',249.1,
311,1230,Hydrogen sulfide,H2S,2,A1,8.8,45.9
312,1230,hydroxy methyl peroxide,HOCH2OOH,9,A,8.9,
313,1230,β–alanine,NH2CH2CH2COOH,17,A,54.9,
314,1231,"2-Propanamine, 2-methyl-",C(CH3)3NH2,14,A,42.2,
316,1231,Phenanthrene,C14H10,13,A1,6.7,
317,1231,Aziridine,C2H5N,6,A',18.7,
318,1231,cyanuric acid,C3H3N3O3,6,A2',0.0,
319,1231,Cyclobutene,C4H6,5,A1,0.2,
324,1231,trifluoroacetic acid,CF3COOH,5,A',223.0,
325,1231,Vinyl ether,CH2CHOCHCH2,13,A,353.5,
326,1231,"Propane, 1-chloro-",CH2ClCH2CH3,22,"A""",0.4,
327,1231,Fluoroacetaldehyde,CH2FCHO,12,"A""",1.5,
328,1231,Carbamic acid,NH2COOH,7,A,216.4,
329,1232,Beryllium Carbonate,BeCO3,7,B2,609.1,
336,1232,"1,1,1,2-tetrachloroethane",CH2ClCCl3,13,"A""",12.7,7.0
337,1232,Perchloryl fluoride,ClFO3,4,E,323.3,
339,1233,(Z)-2-Butenenitrile,C4H5N,10,A',0.8,
343,1233,N-methylmethanimine,CH2NCH3,9,A',20.5,
344,1233,cyanic acid,HOCN,3,A',144.7,
345,1233,Hydroxyimidogen,NOH,2,A',44.8,
349,1234,"Furan, 2-chloro",C4H3ClO,7,A',19.1,
354,1234,Indole,C8H7N,17,A',12.5,
355,1234,trifluoroacetaldehyde,CF3CHO,5,A',235.9,
361,1235,2-Butanamine,CH3C(NH2)HCH2CH3,24,A,0.8,
362,1235,"1,2-dichloro-1,2-difluoroethane RR",CHFClCHFCl,13,B,46.9,
363,1235,Sulfurous acid,H2SO3,2,A',225.1,
364,1235,monoethanolamine,HOCH2CH2NH2,15,A,37.3,
367,1236,Butanamide,C4H9NO,21,A,1.2,
369,1236,(E)-1-Chloro-1-butene,CHClCHCH2CH3,16,A,9.3,
370,1236,Hydrogen phosphorus oxide,HPO,2,A',89.0,
373,1237,Diethyl sulfoxide,C4H10OS,22,A,0.6,
376,1237,2H-Pyran,C5H6O,14,A,78.1,7.3
378,1237,"Ethane, methoxy-",CH3OC2H5,12,A',81.9,
379,1237,fluorochlorobromomethane,CHFClBr,3,A,114.8,4.2
380,1237,Hydroxyacetic acid,HOCH2COOH,16,"A""",0.0,
381,1237,Amminetrifluoroboron,NH3BF3,9,E,430.5,
382,1237,Sulfuryl fluoride,SO2F2,1,A1,227.6,
383,1237,dimethyl zinc,Zn(CH3)2,6,"A2""",4.7,
386,1238,2H-Imidazole,C3H4N2,19,B2,2.5,
389,1238,"1,3-Propanedithiol",C3H8S2,29,B2,26.1,
392,1238,4-Methylthiazole,C4H5NS,12,A,1.5,
394,1238,Cyclobutanol,C4H8O,26,"A""",0.3,
402,1238,phenol,C6H5OH,13,A',61.8,
403,1238,hydroxy acetaldehyde,CHOCH2OH,14,"A""",1.2,
405,1239,Fluorene,C13H10,53,B2,3.0,2.4
407,1239,"1,2-Diaminopropane",C3H10N2,21,A,0.6,
418,1239,meta-xylene,CH3C6H4CH3,18,A',0.4,
419,1239,"1-Chloro-1,1-Difluoroethane",CH3CF2Cl,5,A',165.4,
420,1239,2-Propanamine,CH3CH(NH2)CH3,27,"A""",0.1,
421,1239,"3,3-dichloropropyne",CHCl2CCH,11,"A""",38.8,
422,1239,Butanal,CHOCH2CH2CH3,26,"A""",0.0,
429,1240,pentafluorochloroethane,CF3CF2Cl,13,"A""",196.2,
430,1240,"Acetonitrile, trifluoro-",CF3CN,2,A1,433.9,
431,1240,"Methane, bromofluoro-",CH2BrF,8,"A""",4.9,
433,1240,"ethane, 1,2-dichloro-1,2-difluoro-",CHFClCHClF,12,Au,57.3,
434,1240,formamide,CHONH2,7,A',155.1,
435,1240,Ethyl formate,HCOOC2H5,11,A',551.7,1.3
436,1241,sym-tetrazine,C2H2N4,7,B1u,80.0,
437,1241,tetrafluorcyclobutadiene,C4F4,3,Ag,0.0,
440,1241,"Thiophene, 3-methyl-",C5H6S,11,A',3.9,
445,1241,"Propane, 2-chloro-2-methyl-",CH3CCl(CH3)CH3,19,E,5.1,
446,1241,Butanenitrile,CH3CH2CH2CN,24,"A""",0.1,
447,1241,i-propyl bromide,CH3CHBrCH3,8,A',69.0,
453,1242,Norbornadiene,C7H8,24,B1,0.0,
456,1242,"1,1-Dichloro-2,2,2-trifluoroethane",CF3CHCl2,13,"A""",190.2,
458,1242,(Z)-1-Chloro-2-fluoroethene,CHFCHClz,5,A',39.0,
460,1243,Thietane,C3H6S,19,"A""",16.6,
466,1243,Benzene trifluoride 123,C6H3F3,6,A1,43.2,
467,1243,Bicyclo[2.2.2]octane,C8H14,31,E,0.1,
469,1243,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",CF2ClCFCl2,2,A,198.9,
470,1243,"1-Butene, 4-chloro-",CH2CHCH2CH2Cl,15,A,0.1,
473,1244,(E)-Azodioxymethane,C2H6N2O2,26,Bu,303.6,
480,1244,vinylidene,CCH2,3,A1,13.2,
481,1244,trifluoromethanol,CF3OH,9,"A""",467.6,
482,1244,"1,1,2-trichloroethane",CH2ClCHCl2,7,A,35.8,
483,1244,"Ethane, 1,1,2,2-tetrachloro-",CHCl2CHCl2,13,B,31.0,
485,1244,nitramide,NH2NO2,10,"A""",105.4,
487,1245,"Isoxazole, 5-methyl-",C4H5NO,12,A,34.7,
493,1246,Ethyl bromide,C2H5Br,15,"A""",0.3,
502,1246,"1,2-Dichloro-1,1,2,2-tetrafluoroethane",CF2ClCF2Cl,11,Bg,0.0,
504,1246,1-pentene,CH2CHCH2CH2CH3,22,A,0.2,
505,1246,"Ethane, 1,1,2-trifluoro",CHF2CH2F,8,A,18.6,8.9
506,1246,ethynol,HCCOH,4,A',141.4,
508,1247,Isoxazole,C3H3NO,7,A',9.9,10.7
511,1247,"1H-Imidazole, 2-methyl-",C4H6N2,14,A,15.0,
514,1247,Pentane,C5H12,19,A2,0.0,
521,1247,Allyl Fluoride,CH2CHCH2F,16,"A""",0.3,10.3
522,1248,tetramethylbutane,(CH3)3CC(CH3)3,31,Eg,0.0,
523,1248,Diethyl sulfide,C2H5SC2H5,16,A2,0.0,
524,1248,(Methylsulfonyl)ethane,C3H8O2S,18,A,15.1,
527,1248,Inositol,C6H12O6,19,A2u,0.0,
530,1248,fluorochloromethane,CH2FCl,8,"A""",4.3,
531,1248,ethanimine,CH3CHNH,9,A',32.5,
532,1248,"1,1-dichloro-2,2-difluoroethane",CHCl2CHF2,13,"A""",29.9,
534,1248,nitroxide,H2NO,6,B2,0.3,
535,1249,perfluoropropane,C3F8,16,B1,171.1,
538,1249,2-fluoroethanol,CH2FCH2OH,11,A,11.2,10.9
539,1249,Ethylamine,CH3CH2NH2,20,"A""",0.0,
540,1249,methyl azide,CH3N3,6,A',307.2,
541,1249,"Ethane, 1,2,2-trichloro-1,1-difluoro-",CHCl2CClF2,4,A,164.8,
542,1249,diiminomethane,HNCNH,2,A,0.3,
543,1249,"Urea, N,N'-dimethyl-",NH(CH3)CONH(CH3),27,B,266.6,
548,1250,Difluoromethylene,CF2,1,A1,144.5,
550,1250,"Ethane, (methylthio)-",CH3SCH2CH3,24,"A""",0.0,
552,1250,"Urea, N,N-dimethyl-",N(CH3)2CONH2,19,A,33.3,
558,1251,"1,2-Ethanedithiol",CH2SHCH2SH,21,Bu,77.4,
559,1251,"Butane, 2-chloro-",CH3CHClCH2CH3,20,A,19.0,
560,1251,Dimethylamine,CH3NHCH3,8,A',0.7,
562,1251,diaminoethylene,H2NCHCHNH2,7,A,0.0,18.6
564,1252,di-n-propyl ether,C3H7OC3H7,16,A,0.1,
570,1252,phenyl,C6H5,24,B2,0.1,
571,1252,Nitrosamide,NH2NO,5,A,129.1,
576,1253,Acetylacetone,C5H8O2,10,A,30.0,
580,1253,trifluoroacetyl fluoride,CF3COF,11,"A""",311.4,
581,1253,fluoromethanol,CH2FOH,7,A,13.2,7.5
582,1253,methyl formate,CH3OCHO,8,A',399.1,
584,1253,Nitrous oxide,N2O,2,Σ,164.9,5.7
596,1254,"1-Butene, 3-chloro-",CH2CHCHClCH3,15,A,44.0,
597,1254,1-Fluoropropane,CH2FCH2CH3,16,A,1.6,
600,1255,trimethyl aluminum,Al(CH3)3,15,E',39.1,
602,1255,Propyl nitrite,C3H7ONO,17,A,3.3,
607,1255,"1,2-dichlorobenzene",C6H4Cl2,25,B2,4.5,
610,1255,Ethaninidic acid,CH3C(OH)=NH,9,A',108.1,
611,1255,Ethanol,CH3CH2OH,9,A',121.7,4.4
613,1255,monofluoroamine,NH2F,3,A',94.9,
625,1256,Ethyl chloride,CH3CH2Cl,15,"A""",0.3,
626,1256,dimethyl hydrazine,CH3NHNHCH3,9,A,17.1,
627,1256,Phosphine oxide,H3PO,2,A1,322.8,
628,1256,Chloric Acid,HClO3,2,A',73.0,
629,1257,Thiazole,C3H3NS,7,A',13.2,2.7
631,1257,s-Ethyl thioacetate,C4H8OS,18,A,0.0,
633,1257,trifluoroacetyl chloride,CF3COCl,11,"A""",313.5,
642,1258,2-Butanethiol,CH3CH(SH)CH2CH3,21,A,4.8,
643,1258,Chloroform,CHCl3,4,E,39.7,6.9
646,1259,vinyl bromide,C2H3Br,6,A',40.0,
653,1259,"Ethane, 1,2-dichloro-",CH2ClCH2Cl,16,Bu,58.9,
654,1259,Isopropyl alcohol,CH3CHOHCH3,17,A,87.1,
655,1260,selenophene,C4H4Se,18,B2,19.6,1.2
663,1260,methyleneborane,CH2BH,4,A1,0.0,
664,1260,aminoethene,CH2CHNH2,10,A,41.1,
665,1260,Dioxirane,CH2O2,8,B2,1.5,
666,1260,2-Butenal,CHOCHCHCH3,12,A',0.4,
668,1261,"Oxirane, (chloromethyl)-",C3H5ClO,10,A,4.3,
670,1261,Propanamide,C3H7NO,16,A,153.6,
687,1262,Tetracyanoethylene,C6N4,20,B3g,0.0,
688,1262,"1,1,1,2-tetrafluorochloroethane",CF3CHFCl,5,A,305.7,
689,1262,"Methane, bromochloro-",CH2BrCl,3,A',89.3,
690,1262,Phosphorus monoxide,PO,1,Σ,68.4,
697,1263,cyclobutadiene,C4H4,13,B2u,35.7,
710,1264,"Ethene, 1,2-difluoro-, (Z)-",C2H2F2,3,A1,37.7,
716,1264,Propanoic Acid,CH3CH2COOH,21,"A""",0.1,
717,1264,ethanethiol,CH3CH2SH,12,A,3.3,
718,1264,"2-Butene, (Z)-",CH3CHCHCH3,7,A1,0.0,
720,1265,vinyl,C2H3,5,A',3.4,
725,1265,Propanal,CH3CH2CHO,19,"A""",0.3,6.9
727,1265,Chlorous acid,HOClO,2,A,63.1,
729,1265,Silicon monoxide,SiO,1,Σ,89.0,15.7
736,1266,Bromotrifluoromethane,CF3Br,4,E,302.6,
737,1266,trans-1-Fluoro-1-propene,CH3CHCHF,9,A',8.1,11.5
738,1267,Tetraborane(10),B4H10,31,B2,1.8,
741,1267,ethyl cyanide,C2H5CN,17,"A""",0.0,
742,1267,Fumaronitrile,C4H2N2,15,Bu,1.5,
748,1267,"Methane, difluoro-",CH2F2,5,A2,0.0,12.1
749,1267,"Ethane, 1,1-dichloro-",CH3CHCl2,14,"A""",60.3,
750,1267,2-Butanone,CH3COCH2CH3,26,"A""",0.2,
751,1267,1-Butyne,CHCCH2CH3,19,"A""",0.0,
756,1268,purine,C5H4N4,13,A',9.4,
764,1268,Fluoromethylidyne,CF,1,Σ,218.6,
766,1268,1-Butene,CH2CHCH2CH3,17,A,0.1,17.0
767,1268,Acrylamide,CH2CHCONH2,11,A,138.4,
768,1268,Butane,CH3CH2CH2CH3,15,Au,0.3,0.0
769,1268,dimethylperoxide,CH3OOCH3,5,Ag,0.0,
770,1268,Carbon diselenide,CSe2,2,Σu,1198.8,
785,1269,"1,1,1,2-tetrabromo ethane",CH2BrCBr3,3,A',33.9,12.1
786,1269,"1-Propene, 2-methyl-",CH2C(CH3)CH3,27,B2,3.4,
787,1269,Carbonothioic dihydrazide,CH6N4S,14,A,140.4,
788,1269,"Ethene, 1,2-dibromo-, (E)-",CHBrCHBr,3,Ag,0.0,
789,1270,Nitrosoethylene,C2H3NO,7,A',0.9,11.5
791,1270,Thiophene,C4H4S,18,B2,8.8,
817,1272,"Ethane, 1,1,1-trifluoro-",CH3CF3,9,E,281.4,
819,1272,ferrocene,Fe(C5H5)2,5,A1u,0.0,
821,1272,(Z)-Diazene,N2H2,4,A2,0.0,
826,1273,Acrolein,CH2CHCHO,9,A',1.3,12.6
829,1273,Lithium Hydride,LiH,1,Σ,192.5,
830,1274,Trifluoroethylene,C2HF3,4,A',203.2,
831,1274,Furan,C4H4O,18,B2,0.2,0.6
840,1274,"1-Butene, 2-chloro-",CH2CClCH2CH3,23,"A""",0.5,
841,1274,chloroacetaldehyde,CH2ClCHO,7,A,37.2,
846,1275,Diborane(4) C2V,HBHHBH,11,B2,305.6,
848,1276,"Nitric acid, ethyl ester",C2H5NO3,21,"A""",1.3,
852,1276,"Methane, chlorotrifluoro-",CF3Cl,4,E,347.6,0.6
855,1276,Hydrazinecarbothioamide,CH5N3S,11,A,263.0,
856,1276,Trichloroethylene,CHClCCl2,3,A',13.7,
859,1277,Ethylenediamine,C2H8N2,20,Bg,0.0,
865,1277,Divinyl sulfide,CH2CHSCHCH2,20,B,24.7,
866,1277,"2-Butene, 1-chloro-",CH2ClCHCHCH3,15,A,59.1,
867,1278,fluoroethane,C2H5F,15,"A""",0.3,
869,1278,"1,3,5-Triazine, 2,4,6-trichloro-",C3Cl3N3,1,A1',0.0,
877,1278,"Propane, 2-(methylthio)-",CH3C(SCH3)HCH3,21,A,39.3,
878,1278,Thioacetone,CH3CSCH3,5,A1,172.6,
888,1279,"1,1-Dichlorotetrafluoroethane",CF3CFCl2,12,"A""",210.7,
894,1279,Lithium dioxide,LiO2,1,A1,1.3,448.9
902,1280,thioformamide,CHSNH2,6,A',250.4,6.2
903,1280,hypochlorous acid,HOCl,2,A',47.9,2.2
904,1281,Ethylene oxide,C2H4O,3,A1,16.0,27.6
912,1281,fluorodichloromethane,CHFCl2,7,"A""",97.1,
913,1282,hexafluoroethane,C2F6,7,Eg,0.0,
921,1282,"Propane, 2-chloro-",CH3CHClCH3,8,A',51.1,7.6
922,1283,borazine,B3N3H6,5,A2',0.0,
934,1283,Phosphoryl chloride,Cl3PO,1,A1,237.0,
937,1283,"Urea, ethyl-",NH2CONHC2H5,18,A,5.0,
938,1284,dialane,Al2H6,10,B2g,0.0,
954,1284,Carbonic acid,H2CO3,3,A1,46.0,
955,1284,Cyanoimidogen,NCN,1,Σg,0.0,
956,1284,Diaminoacetylene,NH2CCNH2,14,B,93.9,
957,1284,Phosphorus oxide phosphide,PPO,1,Σ,274.4,
958,1285,"Ethene, ethoxy-",C2H3OC2H5,17,A,1.2,
959,1285,3-Aminopropionitrile,C3H6N2,21,"A""",0.1,
968,1285,1H-Tetrazole,CH2N4,6,A',1.1,
970,1286,Oxalamide,C2H4N2O2,21,Bu,266.7,
980,1287,"Ethene, chloro-",C2H3Cl,6,A',16.7,
997,1288,Maleic Anhydride,C4H2O3,4,A1,232.8,
1002,1288,pentatetraene,C5H4,9,B2,18.8,
1008,1288,"1-Propene, 2-methoxy-",CH2C(CH3)OCH3,17,A,189.4,
